F1,FN,FP,TN,TP,audit_universe,detector,false_breakout_rate,false_positive_rate,missed_true_breakout_rate,note,precision,recall,scenario,seed,signal_count,symbol,window_key
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,EXECUTION_STRESS,10,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,EXECUTION_STRESS,17,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,EXECUTION_STRESS,3,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,EXECUTION_STRESS,31,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,EXECUTION_STRESS,59,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,EXECUTION_STRESS,97,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,MAKER_PROMO_OFF,10,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,MAKER_PROMO_OFF,17,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,MAKER_PROMO_OFF,3,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
0.0,0,1,0,0,D2_SIGNAL_EVENTS,D2,1.0,1.0,0.0,Event-conditioned audit; TN is zero because the universe is the registered D2 signal set.,0.0,0.0,MAKER_PROMO_OFF,31,1,MUUSDT,US_STOCK:2026-05-08T20:00:00+00:00:2026-05-11T08:00:00+00:00
